#STIG ID,Legacy Group ID,Legacy Rule ID,Old Rule ID,New Group ID,New Rule ID
APSC-DV-001280,V-69483,SV-84105,SV-84105r1_rule,V-222500,SV-222500r508029_rule
APSC-DV-001290,V-69485,SV-84107,SV-84107r1_rule,V-222501,SV-222501r561239_rule
APSC-DV-001300,V-69487,SV-84109,SV-84109r1_rule,V-222502,SV-222502r508029_rule
APSC-DV-001310,V-69489,SV-84111,SV-84111r1_rule,V-222503,SV-222503r561242_rule
APSC-DV-001320,V-69491,SV-84113,SV-84113r1_rule,V-222504,SV-222504r561290_rule
APSC-DV-001330,V-69493,SV-84115,SV-84115r1_rule,V-222505,SV-222505r561245_rule
APSC-DV-001340,V-69495,SV-84117,SV-84117r1_rule,V-222506,SV-222506r508029_rule
APSC-DV-001350,V-69497,SV-84119,SV-84119r1_rule,V-222507,SV-222507r508029_rule
APSC-DV-001360,V-69499,SV-84121,SV-84121r1_rule,V-222508,SV-222508r508029_rule
APSC-DV-001370,V-69501,SV-84123,SV-84123r2_rule,V-222509,SV-222509r508029_rule
APSC-DV-001390,V-69503,SV-84125,SV-84125r1_rule,V-222510,SV-222510r508029_rule
APSC-DV-001410,V-69505,SV-84127,SV-84127r1_rule,V-222511,SV-222511r508029_rule
APSC-DV-001420,V-69507,SV-84129,SV-84129r1_rule,V-222512,SV-222512r508029_rule
APSC-DV-001430,V-69509,SV-84131,SV-84131r1_rule,V-222513,SV-222513r561248_rule
APSC-DV-001440,V-69511,SV-84133,SV-84133r1_rule,V-222514,SV-222514r508029_rule
APSC-DV-001460,V-69513,SV-84135,SV-84135r1_rule,V-222515,SV-222515r508029_rule
APSC-DV-001480,V-69515,SV-84137,SV-84137r1_rule,V-222516,SV-222516r508029_rule
APSC-DV-001490,V-69517,SV-84139,SV-84139r1_rule,V-222517,SV-222517r508029_rule
APSC-DV-001500,V-69519,SV-84141,SV-84141r1_rule,V-222518,SV-222518r508029_rule
APSC-DV-001510,V-69521,SV-84143,SV-84143r1_rule,V-222519,SV-222519r508029_rule
APSC-DV-001520,V-69523,SV-84145,SV-84145r1_rule,V-222520,SV-222520r508029_rule
APSC-DV-001530,V-69525,SV-84147,SV-84147r1_rule,V-222521,SV-222521r508029_rule
APSC-DV-001540,V-69527,SV-84149,SV-84149r1_rule,V-222522,SV-222522r508029_rule
APSC-DV-001550,V-69529,SV-84151,SV-84151r1_rule,V-222523,SV-222523r508029_rule
APSC-DV-001560,V-69531,SV-84153,SV-84153r1_rule,V-222524,SV-222524r508029_rule
APSC-DV-001570,V-69533,SV-84155,SV-84155r1_rule,V-222525,SV-222525r508029_rule
APSC-DV-001580,V-69535,SV-84157,SV-84157r1_rule,V-222526,SV-222526r508029_rule
APSC-DV-001590,V-69537,SV-84159,SV-84159r1_rule,V-222527,SV-222527r508029_rule
APSC-DV-001600,V-69539,SV-84161,SV-84161r1_rule,V-222528,SV-222528r508029_rule
APSC-DV-001610,V-69541,SV-84163,SV-84163r1_rule,V-222529,SV-222529r508029_rule
APSC-DV-001620,V-69543,SV-84165,SV-84165r1_rule,V-222530,SV-222530r508029_rule
APSC-DV-001630,V-69545,SV-84167,SV-84167r1_rule,V-222531,SV-222531r508029_rule
APSC-DV-001640,V-69547,SV-84169,SV-84169r1_rule,V-222532,SV-222532r508029_rule
APSC-DV-001650,V-69549,SV-84171,SV-84171r1_rule,V-222533,SV-222533r508029_rule
APSC-DV-001660,V-69551,SV-84173,SV-84173r1_rule,V-222534,SV-222534r508029_rule
APSC-DV-001670,V-69553,SV-84175,SV-84175r2_rule,V-222535,SV-222535r508029_rule
APSC-DV-001680,V-69555,SV-84177,SV-84177r1_rule,V-222536,SV-222536r508029_rule
APSC-DV-001690,V-69557,SV-84179,SV-84179r1_rule,V-222537,SV-222537r508029_rule
APSC-DV-001700,V-69559,SV-84181,SV-84181r1_rule,V-222538,SV-222538r508029_rule
APSC-DV-001710,V-69561,SV-84183,SV-84183r1_rule,V-222539,SV-222539r508029_rule
APSC-DV-001720,V-69563,SV-84185,SV-84185r1_rule,V-222540,SV-222540r508029_rule
APSC-DV-001730,V-69565,SV-84187,SV-84187r1_rule,V-222541,SV-222541r508029_rule
APSC-DV-001740,V-69567,SV-84189,SV-84189r1_rule,V-222542,SV-222542r508029_rule
APSC-DV-001750,V-69569,SV-84191,SV-84191r1_rule,V-222543,SV-222543r508029_rule
APSC-DV-001760,V-69571,SV-84193,SV-84193r1_rule,V-222544,SV-222544r508029_rule
APSC-DV-001770,V-69573,SV-84195,SV-84195r1_rule,V-222545,SV-222545r508029_rule
APSC-DV-001780,V-69575,SV-84197,SV-84197r1_rule,V-222546,SV-222546r508029_rule
APSC-DV-001790,V-69577,SV-84199,SV-84199r1_rule,V-222547,SV-222547r508029_rule
APSC-DV-001795,V-70145,SV-84767,SV-84767r1_rule,V-222548,SV-222548r561251_rule
APSC-DV-001800,V-70147,SV-84769,SV-84769r2_rule,V-222549,SV-222549r508029_rule
APSC-DV-001810,V-70149,SV-84771,SV-84771r1_rule,V-222550,SV-222550r508029_rule
APSC-DV-001820,V-70151,SV-84773,SV-84773r1_rule,V-222551,SV-222551r508029_rule
